year,import
1932,9
1933,11
1934,8
1935,11
1936,12
1937,12
1938,
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1950,
1951,
1952,
1953,21
1954,26
1955,31
1956,26
1957,31
1958,36
1959,
1960,29
1961,28
1962,26
1963,25
1964,24
1965,21
1966,20
1967,20
1968,26
1969,29
1970,24
1971,46
1972,50
1973,71
1974,85
1975,86
1976,70
1977,77
1978,69
1979,79
1980,90
1981,90
1982,68
1983,83
1984,77
1985,68
1986,65
1987,65
1988,61
1989,51
1990,49
1991,39
1992,38
1993,45
1994,35
1995,26