year,import,export,number of countries
1932,1.59,1.81,9
1933,1.27,1.38,11
1934,1.39,1.4,8
1935,1.07,1.05,11
1936,0.86,1.06,12
1937,0.94,1.32,12
1952,2.93,3.24,
1953,4.65,4.18,21
1954,4.72,6.68,26
1955,7.5,7.19,31
1956,3.98,8.62,26
1957,4.85,9.22,31
1958,8.64,10.84,36
1959,6.99,6.18,
1960,5.63,5.25,29
1961,7.92,5.1,28
1962,12.71,18.35,26
1963,10.26,7.7,25
1964,8.75,6.61,24
1965,9.01,5.99,21
1966,7.62,3.71,20
1967,14.37,7.14,20
1968,10.94,9.16,26
1969,10.09,12.59,29
1970,11.76,10.25,24
1971,21.15,17.08,46
1972,20.67,23.38,50
1973,19.74,46.66,71
1974,20.01,52.79,85
1975,22.91,35.34,86
1976,26.94,34.31,70
1977,21.95,39.69,77
1978,29.25,50.86,69
1979,28.93,60.84,79
1980,33.29,76.03,90
1981,34.2,85.14,90
1982,36.23,83.5,68
1983,43.75,78.68,83
1984,42.73,62.24,77
1985,33.44,51.33,68
1986,40.32,54.49,65
1987,50.15,57.37,65
1988,52.54,83.99,61
1989,45.51,123.14,51
1990,41.84,102.91,49
1991,29.59,104.82,39
1992,34.2,108.5,38
1993,33.43,117.2,45
1994,28.47,82.39,35
1995,29.36,68.79,26